ءبد	أبد,تأبد,أبدا
نعنع	نعنع
نفخ	انتفخ
نفد	نفد,استنفاد
نفذ	نفذ,نفاذ,نفذ,نفوذ,نافذة
نفر	تنافر,نفر,نافر
نفس	نافس,تنافسي,نفيس,نفس,تنفس,أنفس
نفض	انتفض
نفع	أنفع,نافع,نفع
نفق	نفق,نفق
نفو	نفا
نفي	نفى,نفي
نقب	نقيب,نقاب
نقد	انتقاد,نقد
نقذ	أنقذ
نقز	نقز
نقش	ناقش,مناقشة
نقص	نقص,ناقص
نقض	نقض,تناقض,أنقض,تنقض,متنقض,مناقض,منتقض,انتقاض,إنقاض,نقض,انتقض,ناقض,منقض,نقيض
نقط	نقطة
نقل	منقول,نقل
نقم	نقم,انتقم
نقو	نقي,أنقى
نقي	نقي,أنقى
نكب	نكبة
نكح	نكح,نكح
نكر	استنكر,نكر,نكر
نكس	نكس
نكص	نكص
نكف	نكف
نمق	نمق,نمق
نمم	نم
نمو	نما,نمو
نمي	نمى
نهب	نهب
نهج	نهج
نهر	نهر
نهض	نهضة,نهض,ناهض
نهق	نهق
نهك	انتهك,انتهاك
نهي	نهي,نهاية,انتهى,أنهى
نوب	نائب,أناب
نوخ	مناخ
نور	أنار,تنور,منارة,أنور,نار,استنار,نير,منار,نور
نوش	نوش
نوع	نوع,تنوع,متنوع
نوق	ناقة
نول	ناول
نوم	نوم,نام,منوم,نوم,تناوم,أنام
نوه	نوه
نوي	نواة,انتوى,نوى,ناوى
نيك	نيك
نيل	نال
هبب	هب,هبوب,هبب
هبط	هبط
هبو	هباء
هتف	هاتف
هجر	هجران,هاجر
هجم	هاجم,مهاجم,هجم,هجوم
هدء	أهدأ,هدوء,هادئ
هدج	هودج
هدد	هدد
هدف	أهدف,تهدف,هدف,هدف,استهدف
هدم	هدم
هدن	هدنة
هدي	هدي,مهدي,هدى,هدية
هذي	هذيان,هذى
هرب	هرب,تهرب
هرم	هرم
هزء	استهزأ
هزز	هز,اهتز,هزز
هزم	هزيمة,هزم,هزم,انهزم
هلك	هلك,استهلك
همز	همزة,همز
همل	أهمل,مهمل
همم	مهم,اهتم,هم,أهم,مهتم,هام
هنء	بالهناءوالشفاء,هنأ
هندس	مهندس,هندس,هندس
هندم	هندام,هدم
هود	هاد,هود
هول	هول,هائل,هال
هون	أهان
هوي	هواء,هواية,هوي
هيء	هيئة,تهيأ,هاء,هيء
هيب	هاب
هيف	أهيف,هيف
وءي	وأى
وتر	توتر,واتر,وتر
وثق	وثق,وثق,وثيقة,واثق
وجب	واجب,وجب,أوجب,وجبة,وجب
وجد	تواجد,وجد,موجود,وجد,إيجاد,توجد,أوجد,نجد
وجز	وجيز
وجس	وجس
وجع	وجع
وجل	وجل
وجه	واجه,أوجه,وجه,وجيه,تجاه,إتجاه
وحد	وحد,متوحد,وحدانية,اتحد,توحد,متحد,وحيد,أحد,وحد,وحداني,أوحد,اتحاد
وحش	أوحش
ودد	ود
ودع	ودع,أودع
ودي	أودى,واد
ورء	وراء
ورث	ورث,أورث,وارث,ورث
ورد	ورد,ورد,استورد
ورط	أورط,استورط,ورط,تورط,ورطة,ورط
ورع	تورع,ورع
ورق	ورق
ورك	ورك
وري	أورى,وراء
وزر	وزير
وزع	توزع
وزن	توازن,وزن
وزي	وازى,توازى
وسخ	اتسخ,أوسخ,وسخ
وسد	وسادة
وسط	أوسط,وسط,متوسط,واسطة
وسع	موسوعة,أوسع,وسع,واسع
وسق	وسق
وسل	وسيلة
وسم	سمة,موسم,وسيم,وسام,أوسم,وسم
وسوس	وسوس
وصب	وصب
وصف	وصفة,وصف,صفة,مستوصف
وصل	تواصل,متصل,اتصل,وصل,وصلة,واصل,توصل,أوصل,صلة,وصل
وصي	وصاية,وصي,تواصى,وصية,أوصى,وصى
وضح	توضح,واضح,وضاح,استوضح,وضح,أوضح,اتضح,وضح
وضع	تواضع,متواضع,موضع,وضعة,موضوع,وضع
وطء	وطء,وطيء,وطئ,تواطؤ,أوطأ,تواطأ
وطن	وطني,وطن,وطنية,مواطن,وطن,موطن,استوطن
وظف	توظيف,وظف,وظيفة
وعث	وعثاء
وعد	توعد,واعد,وعد,تواعد,ميعاد,اتعد,وعد,أوعد
وعظ	وعظ,واعظ
وعي	وعاء,توعوي,وعي,توعية,وعي,وعى
وغر	وغر
وفر	وفير,وفرة,وافر,أوفر,وفر
وفق	أوفق,توفيق,اتفق,وافق,اتفاق,موافق,وفق,توافق
وفي	أوفى,وفاة,توفي,توفى,وافى,وفي,وفى,استوفى
وقب	وقب
وقت	وقت
وقد	موقد
وقع	وقع,واقعة,توقع,واقع,موقع,توقيع
وقف	أوقف,توقيف,وقف,تواقف,وقف,موقف,توقف,استوقف
وقي	وقى,متقون,يقين,توقى,اتقى
وكء	اتكأ,توكأ
وكب	موكب
وكد	توكد,وكد
وكز	وكز
وكل	وكالة,توكل,وكيل
ولد	تولد,والد,ولد,ولد,أولد,والدة
ولع	ولاعة
ولي	وال,تولى,مولى,استولى,أولى,والى,ولاية,ولى,ولي,ولي,توالى
ومء	إيماء,أومأ
ومس	مومسة,مومس
وهب	وهب
وهن	وهن
يءس	يئس,يأس
يدد	
يرق	يرقة
يسر	يسر,يسار,أيسر,تيسر,يسير,يسر
يقظ	يقظ,استيقظ,تيقظ,يقظ,أيقظ
يقن	أيقن
يمن	ميمنة,ميمون,أيمن,اليمن
يوم	يوم
